0001|Hola, soy una inteligencia artificial creada por ti.
0002|¿Cómo estás hoy?
0003|Me alegra hablar contigo.
0004|Este es un experimento de clonación de voz.
0005|Mi voz fue entrenada con tus grabaciones.
0006|¿Te parece natural la forma en que hablo?
0007|Puedo leer textos, frases o incluso diálogos completos.
0008|La entonación y la emoción son muy importantes.
0009|¿Puedes notar algún error en mi pronunciación?
0010|Estoy lista para aprender aún más.
0011|Gracias por tomarte el tiempo para grabarme.
0012|Estoy usando tecnología de texto a voz muy avanzada.
0013|Me gusta cuando las frases tienen ritmo y claridad.
0014|¿Puedes leer esto conmigo?
0015|Vamos a seguir practicando juntas.
0016|El entrenamiento puede tomar varias horas.
0017|Pero valdrá totalmente la pena.
0018|Estoy aquí para ayudarte en tus proyectos.
